Source,Asset ID,Title,Region,Location,Licence,Paid Ads OK,Tags,Credit,File Type,File Size,Resolution,Date Added,Source URL,Local Path,In Library
Tourism New Zealand,235221,"Abel Tasman National Park, Nelson",Abel Tasman,"Abel Tasman National Park, Nelson",WorldWide - Unpaid Only,No,"Abel Tasman, Abel Tasman National Park, activities, Activity, beach, beaches, Coastal Scenery, guided tour, guided walk, hike, hiking, Image, National Park, native birds, native bush, Native Forest, Nature, Natures Wonders, Nelson, Nelson Tasman, new zealand bush, ocean, ocean views, People, qualmark, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, walk, walking, Walking Tracks, Walking Trail, Wildlife Encounter, wilsons walk",Miles Holden,JPG,26.35 MB,7707×5141px,16/11/2023,https://visuals.newzealand.com/asset-page/235221-abel-tasman-national-park-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235221-abel-tasman-national-park-nelson.jpg,Yes
Tourism New Zealand,235238,"Waimauku, Auckland",Auckland,,WorldWide - Unpaid Only,No,"Auckland, Business Events, cellar door, Corporate Events, Dining, Events, food, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, food experience, Food & Wine, group of people, Image, People, restaurant, summer, Summer content, Summer Shoot, The Hunting Lodge, The Hunting Lodge Winery and Restaurant, vineyard, Waimauku, wine and food, winery",Miles Holden,JPG,19.68 MB,7951×5303px,16/11/2023,https://visuals.newzealand.com/asset-page/235238-waimauku-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235238-waimauku-auckland.jpg,Yes
Tourism New Zealand,235253,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,25.28 MB,5123×7681px,16/11/2023,https://visuals.newzealand.com/asset-page/235253-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235253-clevedon-auckland.jpg,Yes
Tourism New Zealand,235262,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"activities, Activity, Adventure, Coastal Scenery, experience, Horse Riding, horses, Horse Trekking, Image, Matapouri, Matapōuri, Nature, Northland, qualmark, Sandy bay, Sandy Bay Glamping & Horse Tours, Sandy bay horse trekking, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Wildlife Encounter",Miles Holden,JPG,40.21 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235262-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235262-matapouri-northland.jpg,Yes
Tourism New Zealand,235241,"Waimauku, Auckland",Auckland,,WorldWide - Unpaid Only,No,"Auckland, Business Events, cellar door, Corporate Events, Dining, Events, food, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, food experience, Food & Wine, group of people, Image, People, restaurant, summer, Summer content, Summer Shoot, The Hunting Lodge, The Hunting Lodge Winery and Restaurant, vineyard, Waimauku, wine and food, winery",Miles Holden,JPG,23.19 MB,4840×7257px,16/11/2023,https://visuals.newzealand.com/asset-page/235241-waimauku-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235241-waimauku-auckland.jpg,Yes
Tourism New Zealand,235230,"Nelson City, Nelson",Nelson,"Nelson City, Nelson",WorldWide - Unpaid Only,No,"activities, Business Events, cafe, Central City, coffee, coffee beans, coffee culture, coffee roastery, Corporate Events, Events, experience, Food and Beverage Industry Toolkit, food and drink, group of people, Image, Nelson, People, Sublime, Sublime coffee, Sublime coffee roasters, summer, Summer content, Summer Shoot, Urban",Miles Holden,JPG,16.73 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235230-nelson-city-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235230-nelson-city-nelson.jpg,Yes
Tourism New Zealand,235234,"Waimauku, Auckland",Auckland,,WorldWide - Unpaid Only,No,"Auckland, Business Events, cellar door, Corporate Events, Dining, Events, food, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, food experience, Food & Wine, group of people, Image, People, restaurant, summer, Summer content, Summer Shoot, The Hunting Lodge, The Hunting Lodge Winery and Restaurant, vineyard, Waimauku, wine and food, winery",Miles Holden,JPG,21.58 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235234-waimauku-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235234-waimauku-auckland.jpg,Yes
Tourism New Zealand,235219,"Abel Tasman National Park, Nelson",Abel Tasman,"Abel Tasman National Park, Nelson",WorldWide - Unpaid Only,No,"Abel Tasman, Abel Tasman National Park, activities, Activity, beach, beaches, Coastal Scenery, guided tour, guided walk, hike, hiking, Image, National Park, native birds, native bush, Native Forest, Nature, Natures Wonders, Nelson, Nelson Tasman, new zealand bush, ocean, ocean views, People, qualmark, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, walk, walking, Walking Tracks, Walking Trail, Wildlife Encounter, wilsons walk",Miles Holden,JPG,38.13 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235219-abel-tasman-national-park-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235219-abel-tasman-national-park-nelson.jpg,Yes
Tourism New Zealand,235264,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"activities, Activity, Adventure, Coastal Scenery, experience, Horse Riding, horses, Horse Trekking, Image, Matapouri, Matapōuri, Nature, Northland, qualmark, Sandy bay, Sandy Bay Glamping & Horse Tours, Sandy bay horse trekking, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Wildlife Encounter",Miles Holden,JPG,21.59 MB,5139×7705px,16/11/2023,https://visuals.newzealand.com/asset-page/235264-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235264-matapouri-northland.jpg,Yes
Tourism New Zealand,235220,"Abel Tasman National Park, Nelson",Abel Tasman,"Abel Tasman National Park, Nelson",WorldWide - Unpaid Only,No,"Abel Tasman, Abel Tasman National Park, activities, Activity, beach, beaches, Coastal Scenery, guided tour, guided walk, hike, hiking, Image, National Park, native birds, native bush, Native Forest, Nature, Natures Wonders, Nelson, Nelson Tasman, new zealand bush, ocean, ocean views, People, qualmark, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, walk, walking, Walking Tracks, Walking Trail, Wildlife Encounter, wilsons walk",Miles Holden,JPG,28.27 MB,7979×5322px,16/11/2023,https://visuals.newzealand.com/asset-page/235220-abel-tasman-national-park-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235220-abel-tasman-national-park-nelson.jpg,Yes
